,Average,Maximum Difference,Maximum,Minimum,Maximum Deviation from Average
youtube,182.37624999999997,14.659999999999997,190.62,175.96,8.243750000000034
amazon,399.518,108.99000000000001,477.44,368.45,77.92200000000003
google,71.9975,5.8700000000000045,75.01,69.14,3.012500000000003
facebook,494.06,37.01999999999998,513.52,476.5,19.45999999999998
