,Average,Maximum Difference,Maximum,Minimum,Maximum Deviation from Average
youtube,160.98875,11.620000000000005,168.27,156.65,7.28125
amazon,352.32599999999996,50.25999999999999,370.59,320.33,31.99599999999998
google,65.87125,3.25,67.52,64.27,1.6487499999999926
facebook,421.9685714285714,11.509999999999991,425.78,414.27,7.698571428571427
