,Average,Maximum Difference,Maximum,Minimum,Maximum Deviation from Average
youtube,182.15,14.189999999999998,188.53,174.34,7.810000000000002
amazon,575.185,344.21,806.54,462.33,231.35500000000002
google,80.15299999999999,12.189999999999998,86.06,73.87,6.282999999999987
facebook,448.67099999999994,61.56999999999999,491.02,429.45,42.349000000000046
