,Average,Maximum Difference,Maximum,Minimum,Maximum Deviation from Average
youtube,176.77,11.299999999999983,182.07,170.77,6.0
amazon,505.1583333333333,171.32999999999998,608.17,436.84,103.01166666666666
google,79.502,22.570000000000007,94.18,71.61,14.678000000000011
facebook,448.936,33.33000000000004,461.66,428.33,20.605999999999995
