,Average,Maximum Difference,Maximum,Minimum,Maximum Deviation from Average
youtube,176.85750000000002,5.699999999999989,180.41,174.71,3.5524999999999807
amazon,496.485,163.16999999999996,608.17,445.0,111.68499999999995
google,78.65375,13.86,88.34,74.48,9.686250000000001
facebook,449.92125000000004,25.139999999999986,459.94,434.8,15.121250000000032
