,Average,Maximum Difference,Maximum,Minimum,Maximum Deviation from Average
youtube,188.95111111111112,89.03,257.05,168.02,68.0988888888889
amazon,410.61285714285714,382.35,595.94,213.59,197.02285714285713
google,80.9511111111111,8.289999999999992,86.13,77.84,5.178888888888892
facebook,445.6011111111111,38.95999999999998,467.02,428.06,21.418888888888887
