,Average,Maximum Difference,Maximum,Minimum,Maximum Deviation from Average
youtube,179.79500000000002,34.50999999999999,197.03,162.52,17.275000000000006
amazon,536.35,197.70000000000005,649.73,452.03,113.38
google,77.708,22.86,92.96,70.1,15.251999999999995
facebook,443.883,36.839999999999975,467.88,431.04,23.997000000000014
