,Average,Maximum Difference,Maximum,Minimum,Maximum Deviation from Average
youtube,163.6625,7.490000000000009,168.22,160.73,4.5575000000000045
amazon,341.75749999999994,49.0,370.64,321.64,28.88250000000005
google,66.065,4.170000000000002,68.77,64.6,2.7049999999999983
facebook,424.65125,11.17999999999995,431.59,420.41,6.93874999999997
