,Average,Maximum Difference,Maximum,Minimum,Maximum Deviation from Average
youtube,163.575,10.409999999999997,168.43,158.02,5.554999999999978
amazon,355.46999999999997,88.68,410.32,321.64,54.85000000000002
google,66.271,5.949999999999989,70.07,64.12,3.7989999999999924
facebook,425.26099999999997,19.75999999999999,437.58,417.82,12.319000000000017
