,Average,Maximum Difference,Maximum,Minimum,Maximum Deviation from Average
youtube,179.21599999999998,43.609999999999985,211.63,168.02,32.414000000000016
amazon,472.9599999999999,227.89999999999998,615.15,387.25,142.19000000000005
google,77.83599999999998,9.260000000000005,84.64,75.38,6.804000000000016
facebook,436.526,48.01999999999998,457.24,409.22,27.305999999999983
