,Average,Maximum Difference,Maximum,Minimum,Maximum Deviation from Average
youtube,176.56375,16.24000000000001,185.49,169.25,8.92625000000001
amazon,437.41249999999997,152.55999999999995,539.81,387.25,102.39749999999998
google,77.29249999999999,2.3799999999999955,78.67,76.29,1.377500000000012
facebook,437.34999999999997,24.50999999999999,446.89,422.38,14.96999999999997
