,Average,Maximum Difference,Maximum,Minimum,Maximum Deviation from Average
youtube,171.90555555555557,9.629999999999995,177.94,168.31,6.034444444444432
amazon,425.55333333333334,92.12,486.1,393.98,60.54666666666668
google,76.49000000000001,12.409999999999997,83.11,70.7,6.61999999999999
facebook,434.37399999999997,35.31999999999999,453.81,418.49,19.436000000000035
