,Average,Maximum Difference,Maximum,Minimum,Maximum Deviation from Average
youtube,171.55714285714288,4.0400000000000205,173.61,169.57,2.0528571428571354
amazon,395.28,2.599999999999966,396.58,393.98,1.3000000000000114
google,76.37142857142858,5.8799999999999955,80.02,74.14,3.6485714285714153
facebook,433.93,31.329999999999984,453.08,421.75,19.149999999999977
