,Average,Maximum Difference,Maximum,Minimum,Maximum Deviation from Average
youtube,182.75375,29.430000000000007,202.18,172.75,19.42625000000001
amazon,413.8514285714286,194.59000000000003,558.22,363.63,144.36857142857144
google,81.3075,7.389999999999986,85.32,77.93,4.012499999999989
facebook,452.12999999999994,23.53000000000003,462.43,438.9,13.229999999999961
