,Average,Maximum Difference,Maximum,Minimum,Maximum Deviation from Average
youtube,184.38799999999998,39.33000000000001,210.59,171.26,26.202000000000027
amazon,427.5833333333333,245.80999999999995,598.55,352.74,170.96666666666664
google,81.78200000000001,12.600000000000009,89.98,77.38,8.197999999999993
facebook,450.416,44.139999999999986,465.63,421.49,28.925999999999988
