,Average,Maximum Difference,Maximum,Minimum,Maximum Deviation from Average
youtube,171.257,17.24000000000001,181.68,164.44,10.423000000000002
amazon,470.87999999999994,35.55000000000001,489.83,454.28,18.950000000000045
google,75.367,10.710000000000008,81.18,70.47,5.813000000000002
facebook,434.62700000000007,33.94999999999999,458.11,424.16,23.482999999999947
