,Average,Maximum Difference,Maximum,Minimum,Maximum Deviation from Average
youtube,170.80624999999998,11.299999999999983,177.39,166.09,6.583750000000009
amazon,461.405,14.25,468.53,454.28,7.125
google,75.2525,7.569999999999993,79.0,71.43,3.822499999999991
facebook,433.0,16.94999999999999,442.36,425.41,9.360000000000014
