,Average,Maximum Difference,Maximum,Minimum,Maximum Deviation from Average
youtube,177.472,27.019999999999982,193.67,166.65,16.19799999999998
amazon,449.1114285714285,91.0,510.24,419.24,61.12857142857149
google,75.522,8.709999999999994,80.16,71.45,4.637999999999991
facebook,446.535,31.069999999999993,466.99,435.92,20.454999999999984
